_id,objectid_1,label,district,council_rep_first,council_rep_last,rep_type,shape_length,shape_area
2080,1,District 8,8,Michelle,Naccarati-Chapkis,Representative,,
2081,2,District 3,3,Anita,Prizio,Representative,,
2082,3,District 7,7,Nicholas,Futules,Representative,,
2083,4,District 6,6,John F.,Palmiere,Representative,,
2084,6,District 1,1,Jack,Betkowski,Representative,,
2085,7,District 2,2,Suzanne,Filiaggi,Representative,,
2086,8,District 4,4,Patrick ,Catena,President,,
2087,9,District 5,5,Dan,Grzybek,Representative,,
2088,10,District 11,11,Paul,Klein,Representative,,
2089,11,District 13,13,David,Bonaroti,Representative,,
2090,12,District 10,10,DeWitt,Walton,Representative,,
2091,13,District 12,12,Robert,Palmosina,Representative,,
2092,551,District 9,9,Robert J.,Macey,Representative,,
